Reference Number,Date Entered,Concern Address,Disposition,Concern Type,Concern Description,Citation Fine Total,Balance Remaining
RAC-2021-01297,7/24/2021,42118 SNOWMASS LN,No Issue,Vacation Rental Parking,Call came in about too many cars parked on the street.,0,0
RAC-2021-00228,3/13/2021,42135 EVERGREEN DR,Issued Citation,Vacation Rental No License,R/P stated she believes the residence is an unregistered PHR. She also stated the current occupants where yelling and very loud.,500,0
RAC-2021-00084,2/18/2021,42135 EVERGREEN DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,No license and noise.,0,0
RAC-2021-01111,7/10/2021,42135 EVERGREEN DR,No Issue,Vacation Rental Noise/Party,"RP states that property is having a party and are all out on the back patio, being loud, screaming/hollering. Additionally, property has new very bright lights in the back yard.",0,0
RAC-2021-01481,8/10/2021,42135 EVERGREEN DR,No Issue,Vacation Rental Noise/Party,call came in at 9:09 pm about noise coming from the back yard of a private home rental.,0,0
RAC-2021-00130,2/25/2021,42136 EVERGREEN DR,No Issue,Vacation Rental Noise/Party,RP stated that the unit was not licensed.  Research indicates that it is.  RP says constant problem with noise and over parking.,0,0
RAC-2021-01051,7/5/2021,42143 WINTER PARK DR,No Issue,Vacation Rental Parking,RP called and complained about multiple cars parked on street at vacation rental at 1:01PM,0,0
RAC-2021-00450,4/19/2021,42147 BIG BEAR BLVD,Issued Citation,Vacation Rental No License,Apartment Blg Illegally hosting vacation rentals without a license. 14 units.,5000,5000
RAC-2021-00240,3/18/2021,422 DIXIE LN,Issued Citation,Vacation Rental Noise/Party,R/P stated the occupants are in the backyard with loud music playing and yelling.,1000,0
RAC-2021-01214,7/17/2021,42201 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states loud party/noise at VR and believes over occupancy,0,0
RAC-2021-01136,7/11/2021,42201 EAGLE RIDGE DR,No Issue,Vacation Rental Noise/Party,RP states property is a VR. They`re out on their deck screaming/yelling. Has been going on for 4+ hours.,0,0
RAC-2021-01396,7/31/2021,42201 EAGLE RIDGE DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants have kids skateboarding in the wash area yelling and there are too many cars at the residence.,0,0
RAC-2021-01492,8/12/2021,42216 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,noise,0,0
RAC-2021-01571,8/20/2021,42252 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,4 cars parked on street,0,0
RAC-2021-00674,5/27/2021,42290 HEAVENLY VALLEY RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants were in the backyard talking loud.,0,0
RAC-2021-00941,6/26/2021,42314 GOLDEN OAK RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,REPORT OF LOTS OF CARS PARKING ON BOTH SIDES OF STREET AND BLOCKING FLOW OF TRAFFIC.,0,0
RAC-2021-01011,7/3/2021,42324 EAGLE RIDGE DR,Issued NOV,Vacation Rental Parking,cars parked in street,0,0
RAC-2021-00479,4/25/2021,42324 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,CARS PARKED IN STREET.,0,0
RAC-2021-00702,5/30/2021,42324 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,R/P stated the occupants had 2 vehicles parked on the street.,0,0
RAC-2021-01607,8/22/2021,42324 PARAMOUNT RD,Issued Citation,Vacation Rental Noise/Party,All the calls that came in for paramount complaints were originating from this VHR.,500,500
RAC-2021-00999,7/2/2021,42324 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,parking on street,0,0
RAC-2021-01597,8/21/2021,42324 PARAMOUNT RD,No Issue,Vacation Rental Parking,"RP states 6 cars instead of 4 allowed.  Upon explanation of parking regulations, she said that all cars are parked on pavement on the property.",0,0
RAC-2021-00940,6/26/2021,42336 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Street parking b,0,0
RAC-2021-00200,3/7/2021,42337 AVALON RD,Issued Citation,Vacation Rental No In-person Check-in,,500,500
RAC-2021-00449,4/19/2021,42337 AVALON RD,Issued Citation,Vacation Rental Spa after 10pm,,1000,1000
RAC-2021-01617,8/23/2021,42337 AVALON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Call at 10:44PM stating noise coming from a home at the corner of Avalon and Crystal Ct. RP stated she did not know if it was a vacation rental.,0,0
RAC-2021-00967,6/27/2021,42337 Avalon Rd.,No Issue,Vacation Rental Noise/Party,Dog in yard incessantly barking,0,0
RAC-2021-01647,8/27/2021,42344 SNOWCREST DR,Issued Citation,Vacation Rental Noise/Party,"Call concerning Snowcrest are VHR loud party, over occupancy, cars parked on street",6000,6000
RAC-2021-00145,2/27/2021,42346 AVALON RD,No Issue,Vacation Rental Parking,House has too many cars parked in driveway for occupancy,0,0
RAC-2021-01184,7/16/2021,42348 AVALON RD,No Issue,Vacation Rental No In-person Check-in,No in person check in was witnessed at this vacation rental,0,0
RAC-2021-00144,2/27/2021,42353 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,42356 paramount,0,0
RAC-2021-00347,4/3/2021,42356 PARAMOUNT DR,No Issue,Vacation Rental Parking,2 cars not on the driveway,0,0
RAC-2021-01596,8/21/2021,42356 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,"RP states 6 cars - upon explanation of parking, she said all cars were parked on pavement on the property.",0,0
RAC-2021-01602,8/21/2021,42356 PARAMOUNT RD,No Issue,Vacation Rental Noise/Party,"10:24 PM - Per RP, loud party going on.",0,0
RAC-2021-00142,2/27/2021,42363 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,42368 Paramount BBL,0,0
RAC-2021-00143,2/27/2021,42363 PARAMOUNT RD,No Issue,Vacation Rental Noise/Party,42368 paramount,0,0
RAC-2021-00150,2/27/2021,42368 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,A call came in about music / noise at a private home rental.,0,0
RAC-2021-01275,7/23/2021,42368 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,2 cars parked on the street ?,0,0
RAC-2021-01603,8/21/2021,42368 PARAMOUNT RD,No Issue,Vacation Rental Noise/Party,"10:24 PM - Per RP, possible party at this house, too.",0,0
RAC-2021-01649,8/27/2021,42373 PARAMOUNT RD,Issued Citation,Vacation Rental Spa after 10pm,11:48 call concerning spa use after 10PM,500,500
RAC-2021-01207,7/17/2021,42373 PARAMOUNT RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,a call was received at 7:07 am about a private home rental having too many cars. the reporting party stated there was one on the street and two in the driveway. I spoke with the tenants and explained the rules.,0,0
RAC-2021-01192,7/17/2021,42373 PARAMOUNT RD,No Issue,Vacation Rental Noise/Party,RP states loud voices/smoking on back patio,0,0
RAC-2021-01505,8/14/2021,42384 HEAVENLY VALLEY RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,12:13 a.m. - RP states loud party out on deck,0,0
RAC-2021-01381,7/31/2021,42386 PARAMOUNT RD,No Issue,Vacation Rental Noise/Party,"R/P stated the occupants are parked on the street and are talking loud. She stated the vehicle parked on the street is a large truck with a jet ski in the back. She stated the occupants have the truck running and it is very loud. The R/P stated the address might not be correct, however it should be easy to locate.",0,0
RAC-2021-00008,2/2/2021,42391 Heavenly Valley Rd,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,People in hot tub making noise at 12:47 a.m.,0,0
RAC-2021-00396,4/11/2021,42400 EAGLE RIDGE DR,Issued Citation,Vacation Rental Spa after 10pm,call came in about PHR noise at 11:56 pm.,500,500
RAC-2021-01440,8/6/2021,42400 EAGLE RIDGE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"RP states overcrowding, lights, talking and screaming. Additionally, the VR at 225 Morningstar has 7+ cars and are at the party on Eagle Ranch.",0,0
RAC-2021-00724,5/31/2021,42401 JUNIPER DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants are on the back deck playing loud music and talking loud.,0,0
RAC-2021-01293,7/24/2021,42401 JUNIPER DR,No Issue,Vacation Rental No Exterior Sign,Appears to be a rental with no signage,0,0
RAC-2021-01353,7/28/2021,42401 JUNIPER DR,No Issue,Vacation Rental No In-person Check-in,"renters at location as of 12:15pm, no signage and possible no in person check in as per internet",0,0
RAC-2021-00261,3/20/2021,42402 GOLDEN OAK RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,R/P stated the occupants have vehicles parked on the street.,0,0
RAC-2021-01000,7/2/2021,42402 GOLDEN OAK RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,while patrolling the area with Carlos we noticed some cars parked on the street. We spoke to tenants and they agreed to move them into the driveway. No further action was needed.,0,0
RAC-2021-01636,8/26/2021,42450 JUNIPER DR,Issued Citation,Vacation Rental Noise/Party,9:58PM Call concerning loud people outside.,500,500
RAC-2021-01358,7/28/2021,42450 JUNIPER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,At least 8 cars in drive way.,0,0
RAC-2021-01479,8/10/2021,42450 JUNIPER DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,"7 cars in driveway at 5:00pm,possible over occupancy.",0,0
RAC-2021-01484,8/11/2021,42450 JUNIPER DR,No Issue,Vacation Rental Parking,"2nd complaint for 7 cars in driveway,please.",0,0
RAC-2021-01524,8/14/2021,42470 FOX FARM RD,Issued Citation,Vacation Rental Noise/Party,10:47 & 10:53 pm - 2 separate complaints,1000,1000
RAC-2021-00207,3/7/2021,425 CRATER LAKE RD,Issued Citation,Vacation Rental Noise/Party,RP states loud music possibly live band.,500,0
RAC-2021-00071,2/14/2021,425 CRATER LAKE RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants had a loud party at the residence which continued until 2:30am. He stated this is an ongoing problem.,0,0
RAC-2021-01610,8/22/2021,425 CRATER LAKE RD,No Issue,Vacation Rental Noise/Party,noise.,0,0
RAC-2021-01525,8/14/2021,425 CRYSTAL CT,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,11:00 pm - RP states loud party,0,0
RAC-2021-00034,2/6/2021,42534 LA PLACIDA AVE,Issued Citation,Vacation Rental Noise/Party,,0,0
RAC-2021-00748,6/5/2021,42540 PEREGRINE AVE,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,po states over occupancy wants to evict renters,0,0
RAC-2021-01122,7/10/2021,42551 LA CERENA AVE,No Issue,Vacation Rental No In-person Check-in,"I am an urban planner and I already have been in touch with Airbnb about this property but wanted to follow up as I am sure that Airbnb will do very little to remedy this situation as they don’t want to loose their business (she has 2 properties in the area that are booked all the time.) This one is “Airbnb Plus.”

I did call and speak to a compliance officer but chose not to share the info of the property at the time since I was still in Big Bear and did not feel comfortable doing so until it was resolved. She has since written be a very inappropriate public review in Airbnb sharing info about my disability and job as well as questioning that I work in hospitality. For this reason I am following up with Airbnb and requesting the refund me immediately and remove the review or I will go to the head of public policy at Airbnb. 

Feel free to give me a call,
Christina",0,0
RAC-2021-01151,7/12/2021,42559 ALTA VISTA AVE,Issued Citation,Vacation Rental Noise/Party,"This vacation home is always having parties with 30 plus people in the home. Always loud past 10pm, I had to contact the sheriffs department several times and on July 11 of this year there was a large party had to contact the sheriffs and a group of kids hid behind the house when the deputy arrived even turned off the lights and waited till he left and continued the party right after. There are 3 vacation homes next to me and it seems that this home always have issues with having a large group of people past the legal campacity staying up till 4am drunk and loud to were we can not get any sleep at times. Its getting out of control and I`m afraid someone is going to get hurt at that house.",2000,2000
RAC-2021-01172,7/15/2021,42559 ALTA VISTA AVE,Issued Citation,Vacation Rental Noise/Party,large party.,3000,0
RAC-2021-00948,6/26/2021,42560 PEGASUS WAY,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states loud noise at vacation rental.,0,0
RAC-2021-00949,6/26/2021,42560 PEGASUS WAY,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states loud noise at vacation rental.,0,0
RAC-2021-00722,5/31/2021,42577 FOX FARM RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,R/P stated the occupants have 1 vehicle parked on the street.,0,0
RAC-2021-01020,7/3/2021,42577 FOX FARM RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states stereo system on deck that they can hear from their property.,0,0
RAC-2021-00754,6/5/2021,42577 FOX FARM RD,No Issue,Vacation Rental Noise/Party,"Loud music , adults and kids screaming and yelling all day on Saturday and late Saturday night",0,0
RAC-2021-00309,3/28/2021,42578 DONEZ,Issued Citation,Vacation Rental Advertising without a License,STR happening daily. No permit on exterior of home,5000,0
RAC-2021-00361,4/4/2021,42578 DONEZ,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Out of control party loud Mexican music. Drinking vulgarity,0,0
RAC-2021-00698,5/29/2021,42578 DONEZ WAY,No Issue,Vacation Rental Noise/Party,"Loud party, yelling, loud music outside",0,0
RAC-2021-00699,5/29/2021,42578 DONEZ WAY,No Issue,Vacation Rental Noise/Party,Loud shouting and loud music on the deck,0,0
RAC-2021-01675,8/28/2021,42592 DONEZ WAY,No Issue,Vacation Rental Noise/Party,RP states loud music/shouting at VR,0,0
RAC-2021-00345,4/3/2021,42592 DONEZ WAY,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in at about 5pm about amplified music.,0,0
RAC-2021-00476,4/24/2021,42592 DONEZ WAY,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Yelling and screaming profanity. Loud music. Seems like a party.,0,0
RAC-2021-00997,7/2/2021,42592 DONEZ WAY,No Issue,Vacation Rental Noise/Party,"I hate to “complain” about another vacation home but our friends just called and let us know the following. 

Shortly after we arrived yesterday, about 20 people with dirt bikes landed next door. 
They`ve basically set up shop in the driveway, and have been blasting their dirt bikes in and out of the cul de sac since 3:00P or so yesterday. They were back at it at 8:30A, and pretty much are just tearing around this neighborhood. 
They were up until about 11:00P last night hanging out, playing music and basketball, etc.",0,0
RAC-2021-01676,8/28/2021,42592 DONEZ WAY,No Issue,Vacation Rental Noise/Party,We received a call about music and noise at a private home rental.,0,0
RAC-2021-01608,8/22/2021,42598 FALCON AVE,No Issue,Vacation Rental Noise/Party,Loud party at a vacation rental,0,0
RAC-2021-01215,7/17/2021,42599 FOX FARM RD,Issued Citation,Vacation Rental Noise/Party,RP states barking dog (audible over phone call) for 1+ hours,600,0
RAC-2021-01217,7/18/2021,42599 FOX FARM RD,No Issue,Vacation Rental Noise/Party,RP states that VR tenants are now (after last code call about dog) are screaming obscenities across the street at them.,0,0
RAC-2021-01577,8/20/2021,426 EAGLE LAKE PL,Issues Resolved With Verbal Warning,Vacation Rental Parking,While on patrol I noticed VHR cars parked on the street,0,0
RAC-2021-01402,8/1/2021,42606 AVALON RD,No Issue,Vacation Rental Noise/Party,Call came in at 12:30PM concerning amplified music and partying.,0,0
RAC-2021-01612,8/22/2021,42609 FALCON AVE,No Issue,Vacation Rental Noise/Party,rp states women running up and down street in long dresses blocking traffic,0,0
RAC-2021-00954,6/27/2021,42621 FALCON AVE,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling.,0,0
RAC-2021-01007,7/3/2021,42621 FALCON AVE,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling.,0,0
RAC-2021-00719,5/31/2021,42621 FALCON AVE,No Issue,Vacation Rental Parking,R/P stated the occupants had 2 vehicles parked on the street.,0,0
RAC-2021-00559,5/8/2021,42628 JUNIPER DR,Issued Citation,Vacation Rental Noise/Party,,1000,0
RAC-2021-00897,6/21/2021,42628 JUNIPER DR,No Issue,Vacation Rental Noise/Party,Rob had called Jack and described the tenants making noise and trespassing upon his property with their Jeep. Rob also said that the Jeep had left ruts in his property. Rob also notified us that they looked like they would be leaving soon. Jack contacted destination Big bear and they confirmed that the tenants would be leaving before we arrived to the location.,0,0
RAC-2021-00696,5/29/2021,42640 JUNIPER DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Hi volume noise/yelling,0,0
RAC-2021-00831,6/14/2021,42640 LA CERENA AVE,Issues Resolved With Verbal Warning,Vacation Rental No In-person Check-in,"No one checked in current guest today with in person check in.  She has done this on several occasions last month.  Her current listing has the wrong occupancy number, wrong number of cars allowed, as well as having self check in listed on Airbnb platform. House is named tres osos. 42640 la cerena big bear lake.",0,0
RAC-2021-00871,6/19/2021,42640 LA CERENA AVE,No Issue,Vacation Rental No In-person Check-in,No in person check in,0,0
RAC-2021-00274,3/24/2021,42645 LA CERENA DR,Issued Citation,Vacation Rental Parking,R/P Stated the occupants have 7 vehicles at the residence. Some of the vehicles are parked in the driveway and some parked on the street. She stated the residence is a 1 bedroom cabin and it is only approved for 2 vehicles and 4 occupants.,0,0
RAC-2021-00324,3/31/2021,42648 SONOMA DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,R/P reported occupants were in the spa and talking loud.,0,0
RAC-2021-00098,2/19/2021,42651 LA PLACIDA AVE,No Issue,Vacation Rental Parking,RP says vehicle parked on lawn,0,0
RAC-2021-01284,7/24/2021,42670 CEDAR AVE,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,10:01 pm RP states `ridiculously loud` party,0,0
RAC-2021-01160,7/13/2021,42701 LA CERENA AVE,Issued NOV,Vacation Rental Parking,RP states several unregistered vehicles including a boat trailer that is sticking out into the street.,0,0
RAC-2021-01008,7/3/2021,42725 TANNENBAUM PL,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling,0,0
RAC-2021-01016,7/3/2021,42725 TANNENBAUM PL,No Issue,Vacation Rental Noise/Party,RP called and stated there was lots of noise from this address disrupting the neighborhood this afternoon and last night.,0,0
RAC-2021-01264,7/22/2021,42725 TANNENBAUM PL,No Issue,Vacation Rental Parking,"They were angry because we did not want to go in with them for a wood fence, as there is already chain link there.  They are now zip-tying old pallets together to creat a fence.  We believe it is a major fire hazard.",0,0
RAC-2021-00206,3/7/2021,42726 SONOMA DR,Issued Citation,Vacation Rental Spa after 10pm,call came in about a private home rental using the spa after hours,500,500
RAC-2021-00517,5/2/2021,42726 SONOMA DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,R/P stated the occupants w.ere in the spa after 10:00pm,0,0
RAC-2021-00637,5/21/2021,42727 MOONRIDGE RD,Issued Citation,Vacation Rental No License,,7500,5000
RAC-2021-00076,2/15/2021,42741 WILLOW AVE,Issued Citation,Vacation Rental Noise/Party,at 10:26 pm I received a noise complaint at 42741 willow ave.,500,0
RAC-2021-00062,2/12/2021,42743 CEDAR AVE,No Issue,Vacation Rental Parking,R/P stated the residence has 3 vehicles in the driveway and the PHR sign only shows they can have 2 vehicles. The R/P stated they were also over occupancy.,0,0
RAC-2021-00040,2/7/2021,42746 PEREGRINE,Issued Citation,Vacation Rental Parking,failure to provide an in person check in. failure to provide off street parking for a third vehicle.,0,0
RAC-2021-00050,2/8/2021,42748 CEDAR AVE,Issued Citation,Vacation Rental No Licence,Additionally - trespassing for snow play onto neighbor`s property.,1000,0
RAC-2021-00911,6/23/2021,42750 GOLD RUSH DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,"Rental unit at 42750 Goldrush Dr, Big Bear Lake, CA 92315, routinely has cars parked overnight in the street. This morning/last night they had 2 vehicles parked in the street. In addition, our CCRs do not allow overnight street parking.

176 Teakwood Dr, Big Bear Lake, CA 92315 is not a rental but they have been routinely parking in the street as well. Our CCRs do not allow overnight street parking.

169 Stony Creek Rd, Big Bear Lake, CA 92315 is a rental and they do not have a visible sign.

Thank you for looking into this. No feedback needed.",0,0
RAC-2021-01176,7/16/2021,42750 GOLD RUSH DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,"2 SUV Vehicles parked in the street. In addition to them parking in the street, it is not permitted by CC&Rs.",0,0
RAC-2021-00733,6/1/2021,42756 TANNENBAUM PL,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were on the back deck talking loud.,0,0
RAC-2021-00346,4/3/2021,42766 LA CERENA AVE,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Smoking, partying on hot tub with music, drinking and lots yelling.",0,0
RAC-2021-01117,7/10/2021,42769 PEREGRINE AVE,Issued Citation,Vacation Rental Noise/Party,Call came in at 12:00AM reporting noise partying,500,500
RAC-2021-00355,4/4/2021,42769 PEREGRINE AVE,No Issue,Vacation Rental Noise/Party,call came in about over occupancy,0,0
RAC-2021-00220,3/13/2021,42778 CEDAR AVE,Issued Citation,Vacation Rental Parking,R/P stated the occupants parked their vehicle in his driveway at 818 poplar St.,1000,0
RAC-2021-00958,6/27/2021,42788 SONOMA DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,So requesting followup,0,0
RAC-2021-00639,5/21/2021,42806 WILLOW AVE,Issued Citation,Vacation Rental No License,,7500,7500
RAC-2021-01423,8/4/2021,42814 WILLOW AVE,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Sheriff asked if I could respond to a call he received for a noisy residence.,0,0
RAC-2021-01384,7/31/2021,42830 COUGAR RD,No Issue,Vacation Rental Noise/Party,yelling.,0,0
RAC-2021-01323,7/25/2021,42834 WILLOW AVE,No Issue,Vacation Rental Noise/Party,Wrong address,0,0
RAC-2021-01324,7/25/2021,42842 WILLOW AVE,Issued Citation,Vacation Rental Noise/Party,noise,1000,1000
RAC-2021-01190,7/17/2021,42843 EAGLES FLIGHT PL,No Issue,Vacation Rental Noise/Party,"VR house is to the left of this address/this is her address. 
RP states 7-8 vehicles, lots of people, loud yelling.",0,0
RAC-2021-01279,7/23/2021,429 WREN DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states loud music and screaming/yelling at VR,0,0
RAC-2021-01288,7/24/2021,429 WREN DR,No Issue,Vacation Rental Noise/Party,call came in at about 2:18 am about renters playing music and using the spa past normal hours.,0,0
RAC-2021-01299,7/24/2021,429 WREN DR,No Issue,Vacation Rental Noise/Party,Noise/Party call at 5:59PM,0,0
RAC-2021-00818,6/13/2021,42900 BIG BEAR BLVD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,convention center.,0,0
RAC-2021-01646,8/27/2021,42925 SUNSET DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states VR tenants outdoors talking very loudly,0,0
RAC-2021-00266,3/21/2021,42938 FAIRY AVE,No Issue,Vacation Rental Noise/Party,call came in about fire works being fired.,0,0
RAC-2021-00863,6/19/2021,42947 DOGWOOD DR,No Issue,Vacation Rental Noise/Party,music and spa complaint,0,0
RAC-2021-00985,6/30/2021,42947 DOGWOOD DR,No Issue,Vacation Rental Noise/Party,call came in about noise coming from a private home rental.,0,0
RAC-2021-00169,3/1/2021,42955 MONTEREY ST,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Deputies advised they received a call regarding a party at a residence that was possibly a PHR.,0,0
RAC-2021-00205,3/7/2021,430 CRANE DR,Issued Citation,Vacation Rental Noise/Party,call came in about noise/party.,8000,0
RAC-2021-00687,5/29/2021,43061 SUNSET DR,Issued Citation,Vacation Rental Noise/Party,,1000,0
RAC-2021-00290,3/27/2021,43069 SUNSET DR,No Issue,Vacation Rental Parking,renters parking on street,0,0
RAC-2021-00853,6/17/2021,43070 MONTEREY ST,No Issue,Vacation Rental Noise/Party,dog barking in rental,0,0
RAC-2021-01500,8/13/2021,43072 GOLDMINE WOODS LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"at 10:30 pm - Per RP, several people smoking `dope`, yelling, screaming, music, dogs barking.",0,0
RAC-2021-00854,6/17/2021,43088 MONTEREY ST,Issues Resolved With Verbal Warning,Vacation Rental Parking,"43088 Monterey … too many cars, one parked in street",0,0
RAC-2021-00375,4/8/2021,43088 MONTEREY ST,No Issue,Vacation Rental Noise/Party,I received a call at 12:33 am about noise at a PHR.,0,0
RAC-2021-00229,3/13/2021,43097 DEER RUN CT,No Issue,Vacation Rental Parking,R/P stated the occupants are parked in front of her garage. She stated this is an ongoing problem.,0,0
RAC-2021-00772,6/7/2021,43103 GRIZZLY RD,No Issue,Vacation Rental No License,Dog hasn`t stopped barking since being left alone this morning.  Tenants still gone.  House in not currently approved - failed inspection on 4/21/21.,0,0
RAC-2021-00843,6/16/2021,43142 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,renters playing music really loud,0,0
RAC-2021-01109,7/9/2021,43142 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,Renters playing amplified music,0,0
RAC-2021-01429,8/4/2021,43142 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,Screaming kids in a rental house past quiet hours,0,0
RAC-2021-01491,8/12/2021,43142 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,Renters playing amplified music again. I also don’t understand why this home has a rental license considering the code says the home has to have had a “legally established” driveway in order to get sunsetted in under the gravel driveway clause. This home never had a legally established driveway. I am asking for it to be re-inspected. It’s a constant nuisance.,0,0
RAC-2021-00805,6/12/2021,43151 MOONRIDGE RD,No Issue,Vacation Rental Noise/Party,high volume music,0,0
RAC-2021-00802,6/11/2021,43151 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,barking dog in a rental,0,0
RAC-2021-00804,6/12/2021,43151 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,There’s a dog barking incessantly in a vacation rental. This is so unfair to those of us who actually live here.,0,0
RAC-2021-00808,6/12/2021,43151 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,There’s a dog barking constantly in a vacation rental,0,0
RAC-2021-01042,7/4/2021,43151 PLYMOUTH RD,No Issue,Vacation Rental Noise/Party,There’s a barking dog in a vacation rental.,0,0
RAC-2021-00365,4/6/2021,43151 SHEEPHORN RD,Issued Citation,Vacation Rental No In-person Check-in,I received a call about a car parked on the street,500,0
RAC-2021-00689,5/29/2021,43151 SHEEPHORN RD,Issued Citation,Vacation Rental Noise/Party,"R/P stated the occupants were in the spa smoking marijuana, playing loud music and yelling.",500,0
RAC-2021-01128,7/10/2021,43151 SHEEPHORN RD,Issued Citation,Vacation Rental Noise/Party,,500,0
RAC-2021-00344,4/3/2021,43151 SHEEPHORN RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,nancy called in about music blasting and a big party going on next door.,0,0
RAC-2021-00711,5/30/2021,43151 SHEEPHORN RD,No Issue,Vacation Rental Noise/Party,Hi volume music noise,0,0
RAC-2021-00917,6/24/2021,43158 Sunset,No Issue,Vacation Rental Noise/Party,43158 Sunset Drive … renters are screaming and yelling which I can hear from far away,0,0
RAC-2021-00193,3/6/2021,43158 SUNSET DR,Issued Citation,Vacation Rental Noise/Party,Call came in at 2:58 PM.  RP said playing music very loud so she can only hear that and she is several houses down.,500,500
RAC-2021-01257,7/20/2021,43158 SUNSET DR,Issued Citation,Vacation Rental Noise/Party,Address is 43158 Sunset Drive. Amplified music that you can hear across the street and drunken loud voices that I can hear inside my house.,1000,1000
RAC-2021-01439,8/6/2021,43158 SUNSET DR,Issued Citation,Vacation Rental Noise/Party,43158 Sunset Drive. Renters playing amplified music from back deck while they barbecue and party,500,500
RAC-2021-00341,4/2/2021,43158 SUNSET DR,No Issue,Vacation Rental Over Occupancy,address is 43158 Sunset. rentals are allowed to have 2 adults per bedroom ... this house has 2 bedrooms plus a loft (which they call a bedroom on airbnb but its not— it’s a loft) and they constantly have more than 4 adults (including right now). they’re also being loud on the front porch and i can hear their screaming inside my house,0,0
RAC-2021-00384,4/9/2021,43158 SUNSET DR,No Issue,Vacation Rental Noise/Party,address is 43158 Sunset. renters playing amplified music that i can hear all the way at my house,0,0
RAC-2021-00852,6/17/2021,43158 SUNSET DR,No Issue,Vacation Rental Noise/Party,address is 43158 Sunset Drive. dog is barking in a rental house.,0,0
RAC-2021-00901,6/21/2021,43158 SUNSET DR,No Issue,Vacation Rental Noise/Party,43158 Sunset Drive… Renters playing amplified music and being loud in the deck,0,0
